"Issue Key"|"Summary"|"Author"|"Created"|"Field Type"|"Field"|"From"|"From String"|"To"|"To String"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Colaborador Desarrollo Profesoral"|"2024-10-04T11:09:25.872-0500"|"jira"|"assignee"|"62fd42fce2b1b5ae159b167b"|"Colaborador Desarrollo Profesoral"|"5e67ac4f2a0bb00ce033d332"|"Sebastián Alfonso Aguilar"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Colaborador Desarrollo Profesoral"|"2024-10-04T11:09:22.287-0500"|"jira"|"status"|"10436"|"TESTING"|"10394"|"In Progress"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Sebastián Alfonso Aguilar"|"2024-10-01T20:01:11.382-0500"|"jira"|"assignee"|"5e67ac4f2a0bb00ce033d332"|"Sebastián Alfonso Aguilar"|"62fd42fce2b1b5ae159b167b"|"Colaborador Desarrollo Profesoral"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Sebastián Alfonso Aguilar"|"2024-10-01T20:01:05.152-0500"|"custom"|"Tipología de casos"|"10618"|"INCIDENTE"|"10619"|"REQUERIMIENTO"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Sebastián Alfonso Aguilar"|"2024-10-01T20:00:59.910-0500"|"custom"|"Tipología de casos"|""|""|"10618"|"INCIDENTE"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Sebastián Alfonso Aguilar"|"2024-10-01T20:00:53.672-0500"|"custom"|"Tipo de incidencia"|""|""|"10605"|"FUNC - Interpretación del modelo de datos"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Sebastián Alfonso Aguilar"|"2024-10-01T20:00:47.061-0500"|"jira"|"status"|"10394"|"In Progress"|"10436"|"TESTING"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Colaborador Desarrollo Profesoral"|"2024-10-01T10:22:10.062-0500"|"jira"|"assignee"|"62fd42fce2b1b5ae159b167b"|"Colaborador Desarrollo Profesoral"|"5e67ac4f2a0bb00ce033d332"|"Sebastián Alfonso Aguilar"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Colaborador Desarrollo Profesoral"|"2024-10-01T10:21:58.234-0500"|"custom"|"Fase del modelo impactado"|""|""|"10595"|"Fase 3"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Colaborador Desarrollo Profesoral"|"2024-10-01T10:21:50.499-0500"|"custom"|"Temática de incidencia"|""|""|"10607"|"DDP - HORAS MINIMAS"
